Measurement results,,,,,,,,,,,,
MR_10_plates_template (1).skax,,,,,,,,,,,,
01/07/2024 16:22:41,,,,,,,,,,,,
 ,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M12,,,,,,,,,,,,
 ,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0385,Std0386,Std0387,Std0388,Std0389,Std0390,Std0391,Std0392,Std0393,Std0394,Std0395,Std0396
B,Std0397,Std0398,Std0399,Std0400,Std0401,Std0402,Std0403,Std0404,Std0405,Std0406,Std0407,Std0408
C,Std0409,Std0410,Std0411,Std0412,Std0413,Std0414,Std0415,Std0416,Std0417,Std0418,Std0419,Std0420
D,Std0421,Std0422,Std0423,Std0424,Std0425,Std0426,Std0427,Std0428,Std0429,Std0430,Std0431,Std0432
E,Std0433,Std0434,Std0435,Std0436,Std0437,Std0438,Std0439,Std0440,Std0441,Std0442,Std0443,Std0444
F,Std0445,Std0446,Std0447,Std0448,Std0449,Std0450,Std0451,Std0452,Std0453,Std0454,Std0455,Std0456
G,Std0457,Std0458,Std0459,Std0460,Std0461,Std0462,Std0463,Std0464,Std0465,Std0466,Std0467,Std0468
H,Std0469,Std0470,Std0471,Std0472,Std0473,Std0474,Std0475,Std0476,Std0477,Std0478,Std0479,Std0480
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M20,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.7936,1.7742,1.7348,1.8029,1.7709,1.7814,1.7760,1.7262,1.8117,1.7938,1.8038,1.8109
B,1.8518,1.8342,1.8486,1.8434,1.8335,1.8452,1.8514,1.8552,1.8823,1.8686,1.8641,1.8492
C,1.8848,1.8755,1.8788,1.8680,1.8903,1.8585,1.8817,1.9023,1.9058,1.9112,1.9194,1.8861
D,1.9000,1.8626,1.8771,1.8961,1.8984,1.8965,1.9064,1.8962,1.9193,1.9114,1.8936,1.8868
E,1.9050,1.8673,1.8890,1.8991,1.8697,1.8848,1.9123,1.9152,1.8996,1.9204,1.9008,1.9092
F,1.9109,1.9151,1.8985,1.8969,1.9035,1.8977,1.9095,1.9315,1.9269,1.9042,1.9245,1.8819
G,1.9098,1.8901,1.8936,1.8799,1.8965,1.8942,1.9153,1.8988,1.8755,1.9174,1.7530,1.8868
H,1.9206,1.8945,1.8797,1.8778,1.8863,1.8980,1.8936,1.9065,1.8997,1.9058,1.8510,1.8961
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0481,Std0482,Std0483,Std0484,Std0485,Std0486,Std0487,Std0488,Std0489,Std0490,Std0491,Std0492
B,Std0493,Std0494,Std0495,Std0496,Std0497,Std0498,Std0499,Std0500,Std0501,Std0502,Std0503,Std0504
C,Std0505,Std0506,Std0507,Std0508,Std0509,Std0510,Std0511,Std0512,Std0513,Std0514,Std0515,Std0516
D,Std0517,Std0518,Std0519,Std0520,Std0521,Std0522,Std0523,Std0524,Std0525,Std0526,Std0527,Std0528
E,Std0529,Std0530,Std0531,Std0532,Std0533,Std0534,Std0535,Std0536,Std0537,Std0538,Std0539,Std0540
F,Std0541,Std0542,Std0543,Std0544,Std0545,Std0546,Std0547,Std0548,Std0549,Std0550,Std0551,Std0552
G,Std0553,Std0554,Std0555,Std0556,Std0557,Std0558,Std0559,Std0560,Std0561,Std0562,Std0563,Std0564
H,Std0565,Std0566,Std0567,Std0568,Std0569,Std0570,Std0571,Std0572,Std0573,Std0574,Std0575,Std0576
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M21,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.7925,1.7935,1.8073,1.8019,1.8056,1.8180,1.8107,1.8303,1.8405,1.8169,1.8401,1.8210
B,1.8504,1.8820,1.8990,1.8985,1.8977,1.9464,1.9414,1.9207,1.9754,1.9287,1.9212,1.8902
C,1.9407,1.9533,2.0249,1.9356,1.9736,1.9643,1.9852,2.0027,2.0050,2.0058,1.9761,1.9075
D,1.9309,1.9515,1.9623,1.9840,1.9324,1.9885,1.9864,2.0492,2.0164,2.0380,1.9754,1.9433
E,1.9474,1.9574,1.9907,2.0045,2.0521,1.9942,2.0089,1.9933,2.0386,2.0473,1.9852,1.9162
F,1.8861,1.9826,1.9830,1.9989,2.0347,2.0352,2.0180,2.0180,2.0227,2.0595,2.0008,1.9191
G,1.9836,1.9489,1.9823,2.0107,2.0044,2.0173,1.9932,1.9762,2.0231,1.9859,1.9851,1.8931
H,1.9533,1.9326,1.9540,1.9301,1.9470,1.9760,1.9547,2.0040,1.9327,1.9634,1.9481,1.9223
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0577,Std0578,Std0579,Std0580,Std0581,Std0582,Std0583,Std0584,Std0585,Std0586,Std0587,Std0588
B,Std0589,Std0590,Std0591,Std0592,Std0593,Std0594,Std0595,Std0596,Std0597,Std0598,Std0599,Std0600
C,Std0601,Std0602,Std0603,Std0604,Std0605,Std0606,Std0607,Std0608,Std0609,Std0610,Std0611,Std0612
D,Std0613,Std0614,Std0615,Std0616,Std0617,Std0618,Std0619,Std0620,Std0621,Std0622,Std0623,Std0624
E,Std0625,Std0626,Std0627,Std0628,Std0629,Std0630,Std0631,Std0632,Std0633,Std0634,Std0635,Std0636
F,Std0637,Std0638,Std0639,Std0640,Std0641,Std0642,Std0643,Std0644,Std0645,Std0646,Std0647,Std0648
G,Std0649,Std0650,Std0651,Std0652,Std0653,Std0654,Std0655,Std0656,Std0657,Std0658,Std0659,Std0660
H,Std0661,Std0662,Std0663,Std0664,Std0665,Std0666,Std0667,Std0668,Std0669,Std0670,Std0671,Std0672
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M22,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.8274,1.8182,1.8426,1.8363,1.8807,1.8416,1.8935,1.8860,1.9329,1.9171,1.9232,1.9363
B,1.9042,2.0282,2.0117,2.0005,2.0797,2.1459,2.1354,2.0232,2.0196,2.0540,2.0393,1.9779
C,1.9165,2.0826,2.0598,2.0627,2.1101,2.1027,2.1390,2.1281,2.1185,2.0966,2.1187,2.0181
D,1.9253,2.0595,2.0930,2.0609,2.0982,2.1225,2.1472,2.1768,2.1373,2.1023,2.1047,1.9573
E,1.9382,2.0961,2.0650,2.0868,2.1112,2.1143,2.1049,2.1258,2.1454,2.1413,2.0997,2.0136
